melodie1;abc;Jazz;07.07.2022
titlu1;artist2;Pop;10.04.1415
titlu3;artist5;Jazz;09.10.1760
titlu3;artist1;Jazz;08.08.2008
titlu1;artist1;Jazz;02.09.1911
titlu3;artist3;Rock;10.10.1800
titlu400;artist1000;Rock;24.11.1260
titlu500;artist1000;Rock;27.01.1936
titlu400;artist1000;Jazz;05.12.1456
titlu300;artist1000;Jazz;06.04.1612
titlu500;artist1000;Pop;03.06.1341
titlu200;artist2000;Jazz;15.01.1986
titlu500;artist1000;Pop;14.08.1331
titlu200;artist2000;Pop;02.08.1622
titlu300;artist1000;Jazz;04.05.1478
titlu300;artist2000;Rock;03.04.1879
titlu300;artist2000;Rock;24.06.1311
titlu500;artist2000;Jazz;04.09.1849
titlu300;artist1000;Pop;07.08.1785
titlu500;artist2000;Jazz;22.03.1703
titlu200;artist1000;Rock;27.02.1918
titlu400;artist2000;Pop;10.04.1282
titlu500;artist2000;Rock;12.10.1283
titlu300;artist1000;Rock;16.11.1207
titlu300;artist1000;Rock;15.09.1966
titlu500;artist1000;Rock;05.09.1562
titlu200;artist2000;Rock;23.04.1876
titlu300;artist2000;Rock;19.04.1659
titlu400;artist1000;Pop;25.10.1066
titlu300;artist2000;Pop;16.11.1294
titlu500;artist1000;Jazz;10.06.1862
titlu400;artist1000;Jazz;25.07.1430
titlu200;artist2000;Jazz;27.11.1635
titlu400;artist2000;Rock;23.04.1235
titlu300;artist2000;Jazz;14.06.1505
titlu200;artist1000;Rock;11.12.2014
titlu400;artist1000;Rock;18.02.1280
titlu200;artist1000;Pop;21.02.1881
titlu200;artist2000;Rock;15.07.1746
titlu200;artist2000;Pop;06.04.1883
titlu500;artist1000;Rock;06.01.1240
titlu200;artist1000;Rock;21.03.1087
titlu300;artist1000;Rock;15.02.1231
titlu200;artist1000;Rock;06.05.1259
titlu400;artist2000;Jazz;15.09.1178
titlu400;artist1000;Jazz;01.03.1100
titlu300;artist2000;Jazz;28.12.1120
titlu500;artist1000;Jazz;12.05.1168
titlu300;artist2000;Jazz;04.12.1524
titlu300;artist1000;Pop;22.10.1741
titlu500;artist2000;Rock;10.08.1467
